Date,Store,Retailer,SKU,Units_Sold
01-01-2024,Mumbai Store - Central,DMart,Heritage Grains Muesli 500g,95
01-01-2024,Mumbai Store - Central,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Mumbai Store - Central,DMart,ProGut Yogurt 100g,110
01-01-2024,Mumbai Store - Central,DMart,ProGut Yogurt 250g,71
01-01-2024,Mumbai Store - Central,DMart,Artisanal Bakery Toast 200g,112
01-01-2024,Mumbai Store - Central,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Mumbai Store - Central,DMart,NutriBlend Peanut Butter 250g,62
01-01-2024,Mumbai Store - Central,DMart,NutriBlend Peanut Butter 500g,34
01-01-2024,Mumbai Store - Central,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Mumbai Store - Central,DMart,Cold-Pressed Virgin Olive Oil 500ml,47
01-01-2024,Mumbai Store - Central,DMart,Cold-Pressed Virgin Olive Oil 1L,19
01-01-2024,Mumbai Store - Central,Reliance Smart,Heritage Grains Muesli 500g,71
01-01-2024,Mumbai Store - Central,Reliance Smart,Heritage Grains Muesli 1kg,50
01-01-2024,Mumbai Store - Central,Reliance Smart,ProGut Yogurt 100g,92
01-01-2024,Mumbai Store - Central,Reliance Smart,ProGut Yogurt 250g,70
01-01-2024,Mumbai Store - Central,Reliance Smart,Artisanal Bakery Toast 200g,102
01-01-2024,Mumbai Store - Central,Reliance Smart,Artisanal Bakery Toast 400g,70
01-01-2024,Mumbai Store - Central,Reliance Smart,NutriBlend Peanut Butter 250g,46
01-01-2024,Mumbai Store - Central,Reliance Smart,NutriBlend Peanut Butter 500g,35
01-01-2024,Mumbai Store - Central,Reliance Smart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Mumbai Store - Central,Reliance Smart,Cold-Pressed Virgin Olive Oil 500ml,40
01-01-2024,Mumbai Store - Central,Reliance Smart,Cold-Pressed Virgin Olive Oil 1L,16
01-01-2024,Mumbai Store - North,DMart,Heritage Grains Muesli 500g,78
01-01-2024,Mumbai Store - North,DMart,Heritage Grains Muesli 1kg,50
01-01-2024,Mumbai Store - North,DMart,ProGut Yogurt 100g,116
01-01-2024,Mumbai Store - North,DMart,ProGut Yogurt 250g,70
01-01-2024,Mumbai Store - North,DMart,Artisanal Bakery Toast 200g,87
01-01-2024,Mumbai Store - North,DMart,Artisanal Bakery Toast 400g,70
01-01-2024,Mumbai Store - North,DMart,NutriBlend Peanut Butter 250g,56
01-01-2024,Mumbai Store - North,DMart,NutriBlend Peanut Butter 500g,34
01-01-2024,Mumbai Store - North,DMart,NutriBlend Peanut Butter 1kg,30
01-01-2024,Mumbai Store - North,DMart,Cold-Pressed Virgin Olive Oil 500ml,40
01-01-2024,Mumbai Store - North,DMart,Cold-Pressed Virgin Olive Oil 1L,18
01-01-2024,Mumbai Store - North,Big Bazaar,Heritage Grains Muesli 500g,69
01-01-2024,Mumbai Store - North,Big Bazaar,Heritage Grains Muesli 1kg,50
01-01-2024,Mumbai Store - North,Big Bazaar,ProGut Yogurt 100g,85
01-01-2024,Mumbai Store - North,Big Bazaar,ProGut Yogurt 250g,70
01-01-2024,Mumbai Store - North,Big Bazaar,Artisanal Bakery Toast 200g,83
01-01-2024,Mumbai Store - North,Big Bazaar,Artisanal Bakery Toast 400g,70
01-01-2024,Mumbai Store - North,Big Bazaar,NutriBlend Peanut Butter 250g,38
01-01-2024,Mumbai Store - North,Big Bazaar,NutriBlend Peanut Butter 500g,30
01-01-2024,Mumbai Store - North,Big Bazaar,NutriBlend Peanut Butter 1kg,30
